Date,Month,Day,Year,Income,Electricity,Gas,Internet,Water,Food,Groceries,Rent,Transportation,Healthcare,Shopping,Entertainment,Dining Out,Subscription Services,Clothing,Electronics,Zakat,Investment,Emergency Fund,Retirement,Education,Travel,Gifts,Home Maintenance,Others,Total_Expenses,Savings_Rate
2023-10-11,10,11,2023,3037.11,77.62,54.92,55.94,43.25,363.35,270.17,678.61,131.56,84.78,202.87,110.49,131.11,26.6,99.37,54.49,238.13,302.96,182.64,336.08,131.65,267.3,43.59,80.57,101.37,4069.42,-0.3398987853584493
2023-05-21,5,21,2023,2454.62,65.74,45.84,70.66,42.21,440.45,252.31,643.92,137.06,99.15,187.26,118.62,135.15,34.34,84.56,41.31,199.34,309.24,214.92,344.28,168.67,353.9,41.7,89.93,102.32,4222.88,-0.7203803440043673
2023-08-02,8,2,2023,3127.58,89.3,44.51,60.54,39.21,390.84,343.22,956.81,138.32,104.84,208.77,109.6,176.86,26.49,88.44,53.21,172.56,260.86,166.01,320.43,147.03,311.26,45.83,89.26,108.28,4452.4800000000005,-0.4236182607639135
2023-12-26,12,26,2023,3431.53,66.28,44.67,54.35,44.66,414.37,336.47,703.3,126.89,88.99,171.92,90.63,128.53,24.72,111.71,51.9,225.94,350.54,195.13,394.99,138.25,288.3,45.44,101.6,97.51,4297.090000000001,-0.2522373401951901
2023-11-03,11,3,2023,2447.83,77.82,46.45,54.01,33.46,473.91,340.32,824.06,177.05,119.98,213.78,90.78,122.41,33.08,98.82,53.03,233.29,261.78,206.83,421.57,149.5,250.95,46.96,93.33,106.81,4529.980000000001,-0.8506105407646779
2023-03-24,3,24,2023,2795.76,86.2,45.76,70.68,45.02,408.02,294.58,740.65,139.4,118.81,192.33,100.58,179.29,31.89,101.7,48.26,175.01,283.41,220.52,420.07,165.6,264.43,50.98,117.11,97.52,4397.819999999999,-0.573032019915872
2023-12-24,12,24,2023,2981.65,64.92,52.6,67.18,43.36,369.72,241.64,770.56,133.48,113.66,169.08,117.88,158.86,25.85,117.31,45.84,216.43,289.86,198.6,395.56,147.41,257.36,43.81,103.98,109.85,4254.8,-0.4269951201515939
2023-03-11,3,11,2023,3436.83,72.84,55.8,57.96,46.95,401.24,338.47,730.51,137.91,103.48,239.91,99.59,128.92,30.46,93.8,51.04,203.47,294.64,185.74,350.18,161.85,308.62,44.67,111.02,81.75,4330.820000000001,-0.2601205180355155
2023-08-31,8,31,2023,3246.27,89.97,47.72,63.93,45.13,476.93,299.44,651.85,150.14,103.61,229.58,114.97,146.42,30.31,98.28,54.45,192.8,318.57,172.35,395.12,178.15,280.63,53.85,105.99,114.07,4414.26,-0.35979447180918417
2023-12-12,12,12,2023,3431.21,76.16,46.33,65.25,44.15,459.58,244.31,661.89,157.87,116.84,239.79,109.87,146.04,25.18,105.35,57.45,195.49,323.28,232.27,327.36,167.77,275.2,47.5,85.82,101.25,4311.999999999998,-0.25669953165209886
2023-10-17,10,17,2023,3218.16,69.76,43.5,62.63,38.12,429.3,299.72,826.61,133.93,105.52,196.77,106.67,173.93,29.58,91.51,50.93,165.91,353.43,239.01,367.86,177.72,322.84,49.14,92.08,119.97,4546.4400000000005,-0.41274517115370296
2023-09-05,9,5,2023,2527.98,76.2,47.18,55.1,43.19,323.51,339.6,766.66,120.49,114.6,222.26,118.94,174.64,32.94,113.31,58.06,222.06,267.61,224.15,355.04,131.41,270.08,55.11,110.7,107.23,4350.069999999999,-0.7207691516546804
2023-03-12,3,12,2023,3153.9,92.91,52.93,55.41,39.05,412.73,327.88,668.84,137.71,109.9,174.05,85.29,152.36,35.66,101.23,58.27,226.44,270.84,225.98,397.1,168.39,329.59,46.77,84.61,118.52,4372.460000000001,-0.3863660864326709
2023-03-14,3,14,2023,3304.98,71.22,53.53,64.19,38.36,455.32,306.88,668.9,143.67,90.58,169.89,94.74,164.94,27.15,95.24,52.77,189.72,320.98,197.72,419.13,176.59,279.36,52.2,105.91,105.42,4344.41,-0.3145041724912102
2023-08-26,8,26,2023,3491.27,73.67,48.17,51.35,47.14,368.7,299.11,671.1,173.24,85.43,196.29,106.82,164.59,35.35,96.77,54.85,172.36,289.79,167.92,398.3,144.49,354.18,40.65,94.82,97.74,4232.83,-0.21240408218212856
2023-05-01,5,1,2023,3426.54,67.18,53.71,61.07,47.65,377.39,287.78,700.74,127.33,113.92,196.38,106.51,158.5,31.17,80.85,55.74,179.49,255.11,205.17,330.98,165.91,264.86,44.32,114.79,93.14,4119.6900000000005,-0.2022886059990546
2023-03-17,3,17,2023,3346.37,83.07,45.55,71.62,47.8,406.43,335.82,675.18,171.99,85.27,188.66,111.54,155.33,24.19,90.61,42.54,193.68,253.64,165.08,391.72,141.72,311.24,49.04,88.86,104.6,4235.179999999999,-0.2656042218881951
2023-12-04,12,4,2023,3025.74,78.66,59.28,49.46,39.66,384.26,322.33,796.89,174.58,82.94,166.46,104.33,123.94,27.3,105.32,50.97,186.01,359.36,202.44,392.59,156.33,251.9,54.04,114.11,106.04,4389.2,-0.4506203441141672
2023-10-10,10,10,2023,3265.01,70.88,49.03,53.48,37.42,392.56,289.92,670.43,145.61,106.6,189.94,86.11,175.38,24.81,113.27,41.86,167.73,328.66,224.94,409.02,155.19,307.39,46.59,84.89,94.14,4265.85,-0.3065350488972469
2023-12-07,12,7,2023,3529.36,77.53,58.32,49.23,36.6,369.99,252.43,802.37,129.28,99.29,227.78,94.0,153.38,25.38,91.14,44.52,194.33,307.32,221.39,419.48,160.5,306.81,52.18,106.31,107.74,4387.3,-0.24308656526962397
2023-01-15,1,15,2023,2616.5,86.49,46.18,56.16,32.1,459.18,307.96,768.25,128.51,105.33,162.45,109.84,132.91,29.04,93.64,47.4,217.73,333.22,205.41,333.59,123.16,258.89,52.36,106.96,90.88,4287.639999999999,-0.6386929103764569
2023-12-05,12,5,2023,2908.82,83.43,48.28,53.17,40.2,375.23,253.31,857.03,155.59,101.08,184.67,88.82,179.07,24.66,88.18,58.91,221.39,331.7,183.16,339.2,149.84,291.68,42.58,101.3,89.2,4341.679999999999,-0.49259149758321213
2023-10-14,10,14,2023,3400.03,89.8,41.44,68.68,32.68,323.0,350.54,915.88,154.55,102.94,216.76,96.71,126.91,24.25,92.99,56.03,209.45,339.84,233.58,334.1,170.67,269.2,51.78,100.96,95.83,4498.569999999999,-0.32309714914280124
2023-06-08,6,8,2023,3294.97,71.09,55.58,49.83,42.13,404.9,263.27,888.39,141.07,118.33,211.64,85.91,126.17,27.07,86.94,43.06,220.73,249.04,236.1,420.47,147.84,307.65,51.59,107.25,115.28,4471.33,-0.357016907589447
2023-11-26,11,26,2023,3162.36,83.98,57.28,63.05,34.42,330.93,293.06,736.9,136.48,82.25,200.59,92.42,147.11,24.68,113.27,41.53,229.14,342.64,209.2,401.13,147.76,306.52,55.84,115.84,97.99,4344.009999999999,-0.3736608102809292
2023-10-20,10,20,2023,3182.2,74.29,49.51,51.62,32.99,336.56,347.9,749.9,162.86,100.18,173.8,89.91,146.27,29.27,100.91,43.17,189.83,273.95,192.7,374.14,155.87,334.71,52.95,82.64,83.78,4229.709999999999,-0.329177927220162
2023-12-14,12,14,2023,2863.88,72.06,57.03,71.15,41.64,344.06,249.78,852.36,175.0,92.41,212.48,106.49,127.74,32.51,83.39,51.18,211.48,279.42,170.22,432.45,176.83,359.66,58.25,83.74,106.82,4448.149999999999,-0.5531900777965553
2023-09-18,9,18,2023,2834.19,75.6,43.61,53.14,47.16,397.8,267.19,684.02,124.63,113.78,168.09,110.83,170.11,34.6,81.51,46.74,221.3,255.73,190.14,345.96,169.88,332.53,56.18,86.62,97.51,4174.66,-0.4729640567499002
2023-07-30,7,30,2023,2837.16,87.03,59.39,62.65,44.04,445.41,268.08,716.53,177.94,111.37,232.32,87.76,160.7,30.85,97.62,55.39,222.25,300.35,193.49,345.93,131.98,312.56,57.46,82.09,99.22,4382.410000000001,-0.5446467594354922
2023-07-10,7,10,2023,3065.45,67.28,56.92,68.43,36.56,442.1,272.73,929.7,128.84,97.5,235.71,88.88,147.07,28.2,81.07,41.07,200.16,268.29,239.56,379.99,121.69,351.7,56.78,106.0,111.66,4557.89,-0.4868583731589165
2023-03-12,3,12,2023,2445.96,93.36,49.45,67.95,44.14,395.06,313.84,929.87,121.14,88.63,171.96,117.61,156.53,29.08,111.05,44.75,169.75,268.61,211.12,419.65,123.77,340.4,50.0,101.44,105.28,4524.44,-0.8497604212660875
2023-10-22,10,22,2023,2690.33,68.59,48.58,62.76,35.85,386.65,319.72,667.4,178.48,82.71,202.08,100.29,179.3,30.65,95.62,49.4,210.85,357.72,180.29,322.6,167.31,281.38,54.66,105.13,110.86,4298.88,-0.5979006292908305
2023-06-20,6,20,2023,2560.09,75.27,46.77,63.43,45.29,429.55,357.7,793.13,130.94,85.39,217.28,117.74,122.22,26.42,111.64,57.72,185.25,277.21,191.86,450.46,148.4,244.39,52.94,91.44,114.49,4436.9299999999985,-0.7331148514310036
2023-01-25,1,25,2023,3438.96,74.62,42.49,56.83,46.23,438.93,347.36,763.73,178.42,99.85,199.8,116.97,151.16,33.61,109.08,41.58,208.2,338.68,203.64,371.39,124.8,319.31,46.13,104.1,97.04,4513.95,-0.31259159745969706
2023-12-20,12,20,2023,2932.69,78.31,54.54,69.88,41.84,389.59,316.74,893.27,123.44,106.85,192.5,100.52,164.99,25.92,81.25,56.97,214.25,292.58,170.1,357.76,158.71,283.46,58.99,81.3,86.14,4399.900000000001,-0.5002949510517649
2023-08-19,8,19,2023,3538.59,75.9,55.26,61.77,40.47,383.69,317.95,719.88,126.81,109.43,199.92,95.48,153.7,27.14,90.41,48.93,239.71,274.27,233.32,398.59,127.36,342.34,49.04,115.95,97.8,4385.12,-0.23922805411194847
2023-02-14,2,14,2023,3372.62,94.96,59.73,64.03,43.35,408.0,274.84,735.99,129.45,108.38,216.02,86.96,141.69,26.69,119.41,55.84,178.94,299.28,188.87,411.56,148.04,357.96,42.6,115.37,82.63,4390.59,-0.301833589316318
2023-07-23,7,23,2023,3599.51,87.0,50.51,66.46,45.17,331.8,356.69,845.55,147.0,107.2,187.56,115.12,166.82,31.68,87.28,59.33,194.61,349.29,164.43,339.87,129.18,259.76,46.45,108.37,93.84,4370.969999999999,-0.21432361626999205
2023-09-23,9,23,2023,3473.91,91.07,45.01,63.24,40.81,340.03,276.34,810.71,150.15,86.75,235.33,86.17,159.52,32.65,104.21,56.85,205.09,339.03,162.27,327.27,158.49,309.21,53.02,110.68,96.66,4340.56,-0.24947393570933057
2023-11-24,11,24,2023,2436.34,92.45,50.91,63.41,36.83,359.18,336.88,769.95,147.21,107.54,172.65,96.62,147.87,28.08,85.75,57.23,185.55,358.56,187.63,383.79,165.64,301.8,42.12,89.67,84.9,4352.219999999999,-0.7863762857400851
2023-08-19,8,19,2023,2697.5,67.1,45.8,57.22,41.85,359.72,343.84,691.1,139.65,103.11,185.02,110.52,149.9,30.18,99.95,46.17,161.85,353.43,200.44,474.67,132.91,282.35,41.01,99.8,115.29,4332.88,-0.6062576459684894
2023-12-01,12,1,2023,3207.02,73.14,40.16,50.58,34.14,362.32,283.89,769.04,122.71,82.05,204.95,94.5,137.32,28.64,98.01,51.0,226.02,314.79,208.88,340.59,125.8,284.78,59.74,102.31,94.62,4189.9800000000005,-0.30650260989953304
2023-03-15,3,15,2023,2638.87,80.29,50.0,49.09,34.19,373.29,296.85,786.24,156.38,100.62,186.24,104.52,129.75,35.89,109.57,45.98,186.91,339.39,202.59,433.4,137.99,337.89,47.37,106.95,119.2,4450.589999999999,-0.6865514405787323
2023-10-26,10,26,2023,2769.21,92.76,57.44,63.1,41.55,362.48,318.67,951.06,154.71,89.1,164.11,99.22,151.45,32.65,110.98,47.6,225.73,269.06,205.81,432.08,131.45,292.92,48.38,96.52,88.16,4526.99,-0.6347586495787606
2023-09-14,9,14,2023,3329.97,93.46,57.46,65.66,33.0,342.09,264.88,744.02,159.73,101.02,185.1,86.93,174.73,28.11,94.17,55.44,217.67,317.2,215.47,417.61,131.54,269.58,51.16,88.99,118.92,4313.94,-0.2954891485508878
2023-06-02,6,2,2023,3325.41,86.56,53.8,59.74,39.68,409.68,352.14,870.93,137.27,102.94,203.46,115.83,143.67,28.14,110.92,42.93,163.37,354.64,166.32,467.84,159.36,329.68,44.28,113.12,90.85,4647.15,-0.3974667785325719
2023-10-15,10,15,2023,3235.41,68.39,52.31,62.08,35.88,427.17,303.72,844.14,123.15,96.53,217.39,84.02,166.25,24.06,102.01,58.58,192.55,352.2,230.27,396.39,131.97,355.67,46.42,105.84,116.32,4593.3099999999995,-0.4196995125810947
2023-02-15,2,15,2023,3182.76,71.43,54.77,68.41,32.6,467.44,290.15,908.03,176.04,81.45,226.9,111.52,131.18,32.99,114.89,45.79,163.0,275.81,208.22,468.55,140.1,294.52,52.83,100.97,115.57,4633.159999999999,-0.4557051112870586
2023-03-10,3,10,2023,3421.27,78.98,43.86,50.7,34.6,393.43,270.87,699.58,164.2,111.63,205.42,110.29,130.53,34.27,115.88,56.54,201.22,250.41,213.54,349.56,128.44,278.83,44.96,90.43,89.42,4147.589999999999,-0.21229543415164523
2023-05-17,5,17,2023,3544.84,73.66,54.46,48.27,42.46,430.84,247.45,677.83,138.41,96.22,200.2,115.8,162.21,27.73,84.7,58.32,183.6,313.76,177.53,341.37,129.19,329.73,52.11,96.63,101.97,4184.450000000001,-0.18043409575608504
2023-08-30,8,30,2023,3308.82,89.66,56.51,66.28,42.89,415.33,334.48,808.16,151.69,94.47,233.38,84.49,169.73,34.83,88.09,50.73,173.16,342.54,195.35,428.85,163.02,298.66,57.98,97.82,82.23,4560.329999999998,-0.37823453678350527
2023-03-09,3,9,2023,3015.9,78.62,41.15,59.1,44.91,435.72,287.51,901.27,164.75,103.13,163.62,93.78,123.83,35.93,117.38,41.38,234.7,243.81,192.71,443.04,165.95,357.4,52.92,96.81,119.71,4599.13,-0.5249610398222753
2023-07-15,7,15,2023,2938.24,93.35,47.55,49.93,47.43,459.93,255.96,915.29,127.12,119.71,191.44,85.09,178.72,34.02,110.25,59.57,197.04,326.29,193.93,380.68,133.78,295.28,43.1,87.54,115.01,4548.01,-0.5478687922021348
2023-02-27,2,27,2023,2438.66,85.13,52.3,70.47,46.22,358.51,248.07,830.06,146.79,106.88,229.78,89.79,122.65,29.27,101.59,55.09,222.09,256.82,239.48,357.47,174.98,309.13,51.55,110.9,112.74,4407.76,-0.8074516332740114
2023-05-02,5,2,2023,2762.12,68.58,53.2,53.31,36.81,329.75,353.82,921.51,174.69,105.04,194.18,99.82,178.34,35.3,106.85,55.72,185.5,289.96,171.94,380.23,165.26,296.82,56.99,92.03,108.3,4513.95,-0.6342338493620842
2023-08-26,8,26,2023,3497.69,82.0,59.36,61.37,34.15,358.86,264.4,846.95,175.33,113.89,167.4,108.98,131.43,27.22,106.95,52.06,229.89,262.58,220.94,435.89,153.53,297.53,57.39,93.32,118.28,4459.699999999999,-0.275041527408089
2023-01-08,1,8,2023,2654.17,70.08,54.83,65.93,44.07,466.31,323.48,865.21,143.8,89.57,185.73,91.32,147.98,31.78,92.34,47.19,230.62,295.92,224.23,435.59,165.7,278.43,44.06,92.52,81.83,4568.520000000001,-0.7212612605824048
2023-04-24,4,24,2023,3289.5,64.52,51.07,62.02,43.52,367.23,263.54,713.61,154.19,89.83,204.05,117.74,140.25,33.16,99.54,54.47,219.17,295.3,218.62,376.35,128.4,305.59,43.68,115.57,119.61,4281.03,-0.301422708618331
2023-01-31,1,31,2023,3028.73,90.85,41.49,67.63,32.78,321.02,256.5,841.82,124.08,86.04,177.5,98.24,123.63,31.65,117.36,58.26,212.74,241.89,202.58,385.81,121.0,326.66,50.71,91.47,100.09,4201.8,-0.38731415477774517
2023-12-24,12,24,2023,3208.84,89.8,58.2,50.57,33.54,343.82,263.03,808.47,168.91,90.69,191.75,94.92,144.36,30.78,119.61,44.52,214.72,341.74,212.3,457.32,165.58,251.22,47.59,102.11,82.24,4407.79,-0.3736396953416187
2023-01-05,1,5,2023,3243.41,66.65,56.91,63.48,37.3,476.37,356.86,926.33,175.15,89.19,232.1,107.69,154.01,27.25,116.97,53.69,182.43,305.16,212.65,348.7,171.03,241.88,44.14,85.77,112.83,4644.54,-0.4319928716998468
2023-07-23,7,23,2023,3514.65,73.58,51.28,61.6,45.59,428.33,304.87,762.83,164.38,111.62,215.14,83.14,164.73,28.15,83.91,44.64,166.08,312.62,209.11,415.3,178.14,279.17,52.68,111.34,98.02,4446.25,-0.2650619549599533
2023-04-27,4,27,2023,2826.97,94.12,48.64,64.31,42.57,333.71,314.23,895.38,162.79,83.28,172.34,108.47,158.03,32.88,92.67,42.13,160.42,276.99,188.79,363.16,127.95,262.49,48.98,102.19,96.32,4272.839999999999,-0.5114557282178444
2023-01-14,1,14,2023,2507.54,81.74,51.94,66.83,45.82,321.97,289.66,889.33,163.49,102.38,239.42,89.71,151.27,32.22,86.78,45.38,181.47,257.51,173.38,364.15,137.99,333.92,47.22,117.77,108.84,4380.190000000001,-0.7468076281933694
2023-09-11,9,11,2023,3112.57,70.26,42.14,55.31,47.18,373.15,314.42,897.3,139.77,93.39,225.24,114.38,178.45,25.63,92.83,58.95,176.07,277.7,237.17,475.0,137.49,323.39,49.82,103.04,89.7,4597.78,-0.4771651721888984
2023-07-12,7,12,2023,2736.36,89.15,47.3,70.37,35.2,479.56,261.59,885.64,121.61,109.09,235.44,88.39,167.86,33.98,82.77,56.96,223.6,320.76,171.13,368.45,135.16,258.5,48.46,95.08,97.96,4484.009999999999,-0.6386769284743232
2023-11-03,11,3,2023,2975.08,76.83,50.13,70.09,43.07,406.98,334.89,755.05,173.73,101.48,211.05,83.4,166.14,31.89,94.2,52.94,163.54,358.03,214.2,383.94,165.16,355.89,48.61,80.42,90.35,4512.009999999999,-0.5166012342525241
2023-09-19,9,19,2023,3296.22,81.86,53.75,53.3,37.99,394.09,321.55,860.94,129.04,119.91,198.62,91.82,175.23,25.03,113.25,54.6,187.87,281.17,222.74,403.38,140.9,251.71,54.44,98.1,82.69,4433.98,-0.3451711354217861
2023-01-23,1,23,2023,3372.22,67.68,56.98,63.55,42.83,346.3,358.07,718.05,130.47,86.41,204.79,118.34,133.91,28.86,87.38,52.81,194.57,243.5,209.13,351.57,155.53,286.66,54.09,88.23,110.09,4189.800000000001,-0.2424456292887182
2023-02-02,2,2,2023,3092.82,89.58,50.74,56.78,35.15,338.23,320.48,796.63,177.95,92.54,191.09,95.7,126.85,28.22,98.31,43.45,213.89,336.07,233.49,414.43,160.33,277.58,44.77,84.68,94.93,4401.870000000001,-0.42325450559683414
2023-03-14,3,14,2023,3012.99,77.38,42.76,57.21,34.97,421.68,323.21,846.48,179.99,102.2,199.17,85.61,138.87,29.41,82.14,47.18,160.77,256.38,225.22,474.21,150.33,299.4,53.69,96.63,113.6,4498.49,-0.4930318388046426
2023-09-08,9,8,2023,2600.7,82.09,55.92,53.29,32.52,355.97,274.64,889.84,153.94,110.9,199.63,100.43,154.36,27.21,101.72,59.82,203.36,330.81,220.8,390.62,133.11,291.02,54.72,106.15,89.9,4472.7699999999995,-0.719833121851809
2023-01-17,1,17,2023,2939.68,75.15,56.33,58.54,47.9,444.1,268.43,899.42,155.28,94.03,216.86,105.31,129.96,25.67,88.26,44.14,164.75,282.1,182.49,406.2,139.42,324.49,45.79,90.69,114.32,4459.629999999999,-0.5170460730419636
2023-12-14,12,14,2023,3378.22,68.34,55.0,57.88,32.95,364.37,318.71,864.46,127.96,85.85,185.77,89.9,170.61,28.71,85.69,52.65,210.23,285.02,166.04,447.14,166.13,288.34,55.0,107.79,115.09,4429.63,-0.31123195055384206
2023-08-21,8,21,2023,3540.3,74.47,40.05,66.58,43.72,436.95,295.01,852.53,141.49,82.53,202.75,88.71,145.78,26.54,90.74,56.57,187.02,309.35,205.29,397.65,140.62,321.91,40.97,83.98,111.36,4442.57,-0.2548569330282743
2023-08-24,8,24,2023,2419.54,93.74,43.16,58.96,47.87,388.45,359.48,931.01,172.93,92.07,229.95,115.06,125.6,28.33,83.3,53.29,211.91,246.21,210.05,436.16,165.31,291.51,41.82,83.81,88.54,4598.5199999999995,-0.9005761425725549
2023-02-09,2,9,2023,2559.24,71.24,53.6,48.22,43.13,450.74,358.58,775.14,127.93,82.83,190.65,109.23,126.15,27.76,115.24,42.74,221.88,330.38,170.65,478.87,128.57,303.66,40.17,106.0,97.6,4500.960000000001,-0.7587096169175229
2023-04-20,4,20,2023,3153.7,68.84,48.23,64.48,45.76,333.87,252.06,880.78,155.37,95.36,237.06,92.58,128.39,27.32,83.37,51.07,208.0,312.91,222.32,430.48,170.87,319.01,46.03,100.71,100.38,4475.25,-0.41904746805339765
2023-07-20,7,20,2023,2754.65,65.75,57.96,70.91,39.92,338.04,299.95,830.06,151.7,119.11,238.95,117.36,127.92,34.33,102.74,47.31,214.64,331.53,236.36,443.26,121.0,248.1,45.24,81.59,82.42,4446.15,-0.6140526019639517
2023-07-23,7,23,2023,3007.93,84.11,50.02,57.97,43.23,333.19,304.39,837.14,136.65,92.4,200.9,88.13,168.48,30.44,95.63,52.69,226.76,321.73,165.29,431.79,163.8,341.58,41.16,83.45,97.38,4448.31,-0.47886087774649033
